QTY,Part Refdes,Part Number,MFGR,Distributor Part #,Description,Footprint,DNI?,"Info:  14 total reels, 23 total placements (per board) "
1,U1,ATMEGA16U4-MU,Atmel,ATMEGA16U4-MURCT-ND,IC MCU 8BIT 16KB FLASH 44QFN,44 QFN-EP,,
1,F1,0ZCC0150BF2C,Bel Fuse,507-1505-1-ND,PTC RESTTBLE 1.50A 24V CHIP 1812,1812,,
1,J2,10118192-0001LF,FCI,609-4613-1-ND,CONN USB MICRO B RECPT SMT R/A,uUSB SMT,,
1,J1,,TC,,Tagconnect Prog Header ,MCP-TC6NL,DNI,
3,"Q1, Q2, Q3",IRLML0040TRPBF,IR,IRLML0040TRPBFCT-ND,MOSFET N-CH 40V 3.6A SOT-23-3,SOT-23-3,,
1,X1,PBRC16.00MR50X000,AVX,478-5419-1-ND,16mhz ceramic osc,3-SMD,,
1,R6,ERJ-P08J180V,Panasonic,P18ALCT-ND,18 Ohm resistor 2/3w,1206,,
1,R5,RC1206JR-0715RL,Yageo,311-15ERCT-ND,15 Ohm resistor 1/4w,1206,,
1,R7,RC1206JR-0730RL,Yageo,311-30ERDKR-ND,30 Ohm resistor 1/4w,1206,,
1,R2,RC0603FR-071ML,Yageo,311-1.00MHRDKR-ND,RES 1M OHM 1/10W 1%,"""0603""",,
3,"C2, C3, C4",GRM188R61A105KA61D,Murata,490-1543-6-ND,CAP CER 1UF 10V 10% X5R 0603,"""0603""",,
2,"C1, C5",GRM188R71E104KA01D,Murata,490-1524-1-ND,CAP CER 0.1UF 25V 10% X7R 0603,"""0603""",,
4,"R1, R8, R9, R10",RC0603JR-0710KL,Yageo,311-10KGRCT-ND,RES 10K OHM 1/10W 5% 0603 SMD,"""0603""",,
1,U2,XZCB25MO24DG25X111S,SUNLED,1497-1088-6-ND,High Power LEDs - Multi-Color RGB,6-SMD,,
2,"R3, R4",MCT06030C2209FP500,Vishay,MCT0603-22.0-CFDKR-ND,RES 22.0 OHM 1/8W 1% SMD 0603,"""0603""",,
24,,,,,,,,
